x1,x2,y
8270,1860,10130
6390,6191,12581
6734,7265,13999
1466,5426,6892
6578,9322,15900
2685,1769,4454
7949,3433,11382
6311,6051,12362
7420,2184,9604
5555,4385,9940
7396,9666,17062
3558,8849,12407
3047,3747,6794
1189,3734,4923
4005,5658,9663
2899,8734,11633
2267,2528,4795
4556,4890,9446
9838,6393,16231
9792,9433,19225
8513,3612,12125
8041,7235,15276
6486,8099,14585
1775,9226,11001
4152,2585,6737
4943,8555,13498
4073,2021,6094
4843,8989,13832
7873,6675,14548
1161,5297,6458
1995,8629,10624
2016,8869,10885
7439,8892,16331
7863,8916,16779
9529,1878,11407
5887,5859,11746
7331,9571,16902
9684,8208,17892
6276,3062,9338
1064,9006,10070
3568,6463,10031
3027,3695,6722
6258,6618,12876
7736,1391,9127
6892,4561,11453
7184,4099,11283
7278,9392,16670
4104,8215,12319
3454,9996,13450
3731,9154,12885
6056,9110,15166
4840,2028,6868
8385,1502,9887
7910,7938,15848
5488,1206,6694
6134,6977,13111
8721,8035,16756
2484,8858,11342
1863,3790,5653
8408,9755,18163
6116,7019,13135
2757,8574,11331
7374,7892,15266
2678,4242,6920
5636,2059,7695
7668,4157,11825
6915,3693,10608
4627,6450,11077
2663,6592,9255
8392,2306,10698
7776,6864,14640
8526,9901,18427
6575,6530,13105
5413,4748,10161
1663,2998,4661
8994,2495,11489
4304,4763,9067
6232,2853,9085
7585,2291,9876
4581,8554,13135
8280,2636,10916
4696,1698,6394
5737,1854,7591
9164,6855,16019
8392,7528,15920
6249,6172,12421
2707,6791,9498
6535,5931,12466
4510,1202,5712
5218,9958,15176
5389,3327,8716
9004,3931,12935
8777,1197,9974
8125,2930,11055
7287,9800,17087
5282,3511,8793
1659,3811,5470
8098,7546,15644
2986,9338,12324
3911,2734,6645
2843,9680,12523
3976,2959,6935
6759,7694,14453
3385,5736,9121
2802,9155,11957
9120,7616,16736
6534,5061,11595
1262,7287,8549
9815,3049,12864
6423,5548,11971
4108,8158,12266
8400,4170,12570
3255,2154,5409
5499,7295,12794
7197,2648,9845
6539,5199,11738
9445,3557,13002
6592,1098,7690
3200,3961,7161
5973,5433,11406
3869,1956,5825
9352,6699,16051
7944,5493,13437
5911,4987,10898
7015,2218,9233
5496,5735,11231
5555,9050,14605
4446,2045,6491
7893,2693,10586
4436,9754,14190
6895,4354,11249
1225,5893,7118
8022,6600,14622
8996,8683,17679
5642,8679,14321
9208,8339,17547
3205,2069,5274
4444,2060,6504
3327,4420,7747
1301,1606,2907
4170,1699,5869
6088,1190,7278
1980,3975,5955
7102,2184,9286
4327,4394,8721
9319,2816,12135
6854,7709,14563
1569,6442,8011
2895,3733,6628
4863,8455,13318
5014,2686,7700
4009,8806,12815
1154,2409,3563
1784,9096,10880
8560,8343,16903
8206,6596,14802
6801,3806,10607
1537,6986,8523
2841,9716,12557
7971,6625,14596
3950,8992,12942
5780,3368,9148
7655,9173,16828
5495,7002,12497
7614,6919,14533
1853,5146,6999
4769,1574,6343
2148,7293,9441
7457,8509,15966
5777,4854,10631
3491,4124,7615
6691,4051,10742
1004,6222,7226
6315,5869,12184
1876,8027,9903
5142,7966,13108
8079,8987,17066
7799,5465,13264
1635,2693,4328
5752,9311,15063
1830,6177,8007
9932,9308,19240
6949,3838,10787
2150,8560,10710
2931,2664,5595
2081,1512,3593
8805,6237,15042
1559,4672,6231
8404,4343,12747
5070,1580,6650
8004,9130,17134
4147,5249,9396
2679,4506,7185
8253,3744,11997
6188,3141,9329
7617,3479,11096
7484,8421,15905
5452,6881,12333
7665,3849,11514
8390,7905,16295
3489,5611,9100
3839,9527,13366
6878,7303,14181
1851,2687,4538
7833,3427,11260
5000,6052,11052
3738,6732,10470
6387,9002,15389
6536,4913,11449
2066,8723,10789
5380,5107,10487
6726,4373,11099
9945,3082,13027
9967,7748,17715
1417,9306,10723
9808,4974,14782
4267,1825,6092
8668,6745,15413
1412,8543,9955
8587,1728,10315
8164,9867,18031
6988,3504,10492
3967,3786,7753
2122,5079,7201
2571,6073,8644
6104,3143,9247
7806,8357,16163
4440,4766,9206
6644,3914,10558
5968,6917,12885
9787,1728,11515
2365,5492,7857
1698,8186,9884
1395,8400,9795
9082,5171,14253
5360,3502,8862
1717,3782,5499
5946,6486,12432
9335,5980,15315
8266,5491,13757
8192,6588,14780
8651,4636,13287
2167,2062,4229
3156,8860,12016
6161,6305,12466
7541,5729,13270
8330,6334,14664
9924,5330,15254
9010,7801,16811
5846,7731,13577
8241,1953,10194
3539,8056,11595
2542,6293,8835
2191,7313,9504
7938,3681,11619
2540,7172,9712
6541,2365,8906
9691,9702,19393
8494,5312,13806
2324,4141,6465
8419,4486,12905
2810,7588,10398
3923,6301,10224
5186,9905,15091
6977,5268,12245
5748,5849,11597
4709,7619,12328
9647,4072,13719
7530,1504,9034
2214,2531,4745
8576,1823,10399
1928,6029,7957
1133,3105,4238
4627,7316,11943
2852,5910,8762
5175,6348,11523
7190,2256,9446
4376,6645,11021
4486,4584,9070
9053,4330,13383
3703,9662,13365
9120,8114,17234
2353,6063,8416
9549,8575,18124
1667,5468,7135
7819,4719,12538
3745,8483,12228
1539,5964,7503
5835,4775,10610
7042,8102,15144
8312,6320,14632
7132,8891,16023
3779,1924,5703
2581,8714,11295
4324,6713,11037
8026,1255,9281
5804,2838,8642
1009,3871,4880
9989,8409,18398
8418,6124,14542
2015,3193,5208
9415,8449,17864
5158,4925,10083
7970,7938,15908
5784,5000,10784
2633,8266,10899
9702,1384,11086
1404,9175,10579
3000,6989,9989
2460,8190,10650
8140,4636,12776
5809,5178,10987
8245,7600,15845
6997,3048,10045
5780,1716,7496
8939,6565,15504
5544,5976,11520
4419,8239,12658
1249,9865,11114
1770,5363,7133
2077,9427,11504
9580,8901,18481
5858,7544,13402
5719,3814,9533
4374,2252,6626
7996,5673,13669
5530,7881,13411
7949,7241,15190
9017,7941,16958
8002,2331,10333
5261,8648,13909
6115,5637,11752
5854,4177,10031
8730,3180,11910
5892,8043,13935
1137,7327,8464
4472,6449,10921
3832,4579,8411
6971,5164,12135
8941,6569,15510
5300,7269,12569
4818,2906,7724
7254,1760,9014
8830,8350,17180
7238,7090,14328
7031,8687,15718
9472,2887,12359
4266,1666,5932
5188,1671,6859
7777,8570,16347
8956,6124,15080
6585,5777,12362
4900,7677,12577
7981,7376,15357
1523,3393,4916
3593,8240,11833
7937,7190,15127
6240,7493,13733
3878,5143,9021
4644,5432,10076
2276,6811,9087
1302,1638,2940
1055,9717,10772
9150,3125,12275
1364,7809,9173
5621,6126,11747
6122,2646,8768
1918,3797,5715
7506,6870,14376
2531,9172,11703
4345,8673,13018
7949,7882,15831
2906,4086,6992
9152,6750,15902
9905,2062,11967
2976,2296,5272
7229,8641,15870
1125,5632,6757
7288,4596,11884
7168,8561,15729
9258,1232,10490
7371,5206,12577
8943,7891,16834
7738,3472,11210
3739,6401,10140
2761,1876,4637
4812,2460,7272
2733,2605,5338
6622,7767,14389
7986,4517,12503
4735,9434,14169
3590,2063,5653
5324,6342,11666
1005,8489,9494
9659,9195,18854
6966,9837,16803
1117,3551,4668
6560,5289,11849
1846,7316,9162
7469,9915,17384
1224,5208,6432
7283,3048,10331
7233,2828,10061
